Using device: cuda
Random seed set to: 42

Loading causal model (encoder source) from /snel/home/cbwash2/cleo/results/causal_z64_pw200_h128_lr3e4/model.pt...
  n_x=50, n_u=2, z_dim=64, hidden=128, n_layers=2

Loading acausal model from /snel/home/cbwash2/cleo/results/sweep_latent_node_40_10/run_05_z64_h256_l2_lr0.0005_dopri5.pt...
  n_x=50, n_u=2, z_dim=64, hidden=256, n_layers=2

=> Using CAUSAL ODE (drift+control) + decoder

================================================================================
EnKF Causal-Init Sweep: ode_source=causal, obs_delay=10
  6 K × 2 Q × 2 R = 24 configs
  Ensemble size: 64
  Horizon: 200, Stride: 200
  Window batch size: 32
================================================================================

  Trial 46: MSE=0.118699, R²=0.8722
  Trial 47: MSE=0.106488, R²=0.9048
  Trial 48: MSE=0.133271, R²=0.8719
  Trial 49: MSE=0.139499, R²=0.8892
  => R²=0.8709, MSE=0.128781, Time=451.5ms

[21/24] K=999, Q=0.01, R=0.01, delay=10
  Trial 40: MSE=0.182822, R²=0.8334
  Trial 41: MSE=0.169336, R²=0.8349
  Trial 42: MSE=0.152851, R²=0.8334
  Trial 43: MSE=0.160727, R²=0.8211
  Trial 44: MSE=0.179070, R²=0.7996
  Trial 45: MSE=0.153526, R²=0.8314
  Trial 46: MSE=0.151232, R²=0.8372
  Trial 47: MSE=0.136137, R²=0.8783
  Trial 48: MSE=0.178909, R²=0.8280
  Trial 49: MSE=0.203502, R²=0.8384
  => R²=0.8336, MSE=0.166811, Time=434.1ms

[22/24] K=999, Q=0.01, R=0.1, delay=10
  Trial 40: MSE=0.182822, R²=0.8334
  Trial 41: MSE=0.169336, R²=0.8349
  Trial 42: MSE=0.152851, R²=0.8334
  Trial 43: MSE=0.160727, R²=0.8211
  Trial 44: MSE=0.179070, R²=0.7996
  Trial 45: MSE=0.153526, R²=0.8314
  Trial 46: MSE=0.151232, R²=0.8372
  Trial 47: MSE=0.136137, R²=0.8783
  Trial 48: MSE=0.178909, R²=0.8280
  Trial 49: MSE=0.203502, R²=0.8384
  => R²=0.8336, MSE=0.166811, Time=440.7ms

[23/24] K=999, Q=0.1, R=0.01, delay=10
  Trial 40: MSE=0.190384, R²=0.8265
  Trial 41: MSE=0.177092, R²=0.8273
  Trial 42: MSE=0.160112, R²=0.8255
  Trial 43: MSE=0.168800, R²=0.8121
  Trial 44: MSE=0.186657, R²=0.7911
  Trial 45: MSE=0.161852, R²=0.8222
  Trial 46: MSE=0.158890, R²=0.8290
  Trial 47: MSE=0.143693, R²=0.8715
  Trial 48: MSE=0.186364, R²=0.8209
  Trial 49: MSE=0.211470, R²=0.8321
  => R²=0.8258, MSE=0.174531, Time=463.8ms

[24/24] K=999, Q=0.1, R=0.1, delay=10
  Trial 40: MSE=0.190384, R²=0.8265
  Trial 41: MSE=0.177092, R²=0.8273
  Trial 42: MSE=0.160112, R²=0.8255
  Trial 43: MSE=0.168800, R²=0.8121
  Trial 44: MSE=0.186657, R²=0.7911
  Trial 45: MSE=0.161852, R²=0.8222
  Trial 46: MSE=0.158890, R²=0.8290
  Trial 47: MSE=0.143693, R²=0.8715
  Trial 48: MSE=0.186364, R²=0.8209
  Trial 49: MSE=0.211470, R²=0.8321
  => R²=0.8258, MSE=0.174531, Time=479.7ms

================================================================================
RESULTS SUMMARY — ode_source=causal, obs_delay=10
================================================================================
     K        Q        R         R²          MSE   Time(ms)
----------------------------------------------------------
     1    0.010    0.010     0.9552     0.044430     1311.1
     1    0.010    0.100     0.9417     0.057864     1296.2
     1    0.100    0.010     0.9563     0.043263     1297.0 *
     1    0.100    0.100     0.9550     0.044573     1275.7
    10    0.010    0.010     0.9438     0.055666      546.2
    10    0.010    0.100     0.9163     0.083405      532.3
    10    0.100    0.010     0.9427     0.056764      558.9
    10    0.100    0.100     0.9432     0.056263      539.0
    20    0.010    0.010     0.9316     0.067823      531.3
    20    0.010    0.100     0.9025     0.097425      481.1
    20    0.100    0.010     0.9287     0.070698      481.6
    20    0.100    0.100     0.9306     0.068864      483.9
    50    0.010    0.010     0.9047     0.094722      467.0
    50    0.010    0.100     0.8788     0.121207      459.0
    50    0.100    0.010     0.9000     0.099434      496.6
    50    0.100    0.100     0.9025     0.096984      481.8
   100    0.010    0.010     0.8751     0.124619      455.1
   100    0.010    0.100     0.8576     0.142568      455.8
   100    0.100    0.010     0.8694     0.130226      481.3
   100    0.100    0.100     0.8709     0.128781      451.5
   999    0.010    0.010     0.8336     0.166811      434.1
   999    0.010    0.100     0.8336     0.166811      440.7
   999    0.100    0.010     0.8258     0.174531      463.8
   999    0.100    0.100     0.8258     0.174531      479.7

Best config: K=1, Q=0.1, R=0.01
  R²=0.9563, MSE=0.043263
  Avg inference time per trial: 1297.0ms

================================================================================
COMPARISON CONTEXT
================================================================================
  Causal baseline (LatentCANODE, R²=0.8252): causal encoder + CA-ODE
  Acausal baseline (LatentNODE, R²=0.9387): bidirectional encoder
  This run (ode_source=causal, delay=10):
    Best R² = 0.9563
    => IMPROVEMENT over causal baseline by 0.1311

Results saved to results/enkf_causal_A2/enkf_results.json

Done! All results in results/enkf_causal_A2/
